playlist_name,tvg_id,status,future_horizon_hours,last_programme_utc,programme_count
ТНТ +7,Xtnt-pl7,OK,95.75,2026-09-06T21:35:00+00:00,297
ТНТ International HD,Xtnt-int-cis,OK,95.17,2026-09-06T21:00:00+00:00,222
ТНТ4,Xtnt4,OK,95.17,2026-09-06T21:00:00+00:00,404
ТНТ4 HD,Xtnt4,OK,95.17,2026-09-06T21:00:00+00:00,404
ТНТ4 +2,Xtnt4-pl2,OK,93.17,2026-09-06T19:00:00+00:00,399
ТНТ4 +7,Xtnt4-pl7,OK,88.17,2026-09-06T14:00:00+00:00,388
ТНТ4 +4,Xtnt4-pl4,OK,91.17,2026-09-06T17:00:00+00:00,396
НТВ Мир,Xntv-mir,OK,95.75,2026-09-06T21:35:00+00:00,191
НТВ,Xntv,OK,96.0,2026-09-06T21:50:00+00:00,260
НТВ HD,Xntv,OK,96.0,2026-09-06T21:50:00+00:00,260
НТВ +2,Xntv-pl2,OK,94.0,2026-09-06T19:50:00+00:00,258
НТВ +4,Xntv-pl4,OK,92.0,2026-09-06T17:50:00+00:00,255
НТВ +7,Xntv-pl7,OK,89.0,2026-09-06T14:50:00+00:00,254
НТВ Стиль,Xntv-style,OK,95.75,2026-09-06T21:35:00+00:00,302
ТВ3 HD,Xtv3-ru,OK,100.92,2026-09-07T02:45:00+00:00,307
ТВ3 +2,Xtv3-ru-pl2,OK,99.92,2026-09-07T01:45:00+00:00,307
ТВ3 +7,Xtv3-ru-pl7,OK,94.92,2026-09-06T20:45:00+00:00,301
Время,Xvremia,OK,95.33,2026-09-06T21:10:00+00:00,101
Москва 24,Xmoskva-24,OK,95.67,2026-09-06T21:30:00+00:00,553
Санкт-Петербург,Xsankt-peterburg,OK,100.42,2026-09-07T02:15:00+00:00,328
Рен ТВ,Xrentv,OK,97.5,2026-09-06T23:20:00+00:00,205
Рен ТВ HD,Xrentv,OK,97.5,2026-09-06T23:20:00+00:00,205
Рен ТВ +2,Xrentv-pl2,OK,94.08,2026-09-06T19:55:00+00:00,205
Рен ТВ +7,Xrentv-pl7,OK,89.08,2026-09-06T14:55:00+00:00,198
СТС International,sts-int,OK,98.33,2026-09-07T00:10:00+00:00,517
СТС,Xsts,OK,100.33,2026-09-07T02:10:00+00:00,146
СТС HD,Xsts,OK,100.33,2026-09-07T02:10:00+00:00,146
СТС +2,Xsts-pl2,OK,98.33,2026-09-07T00:10:00+00:00,137
СТС +4,Xsts-pl4,OK,96.33,2026-09-06T22:10:00+00:00,137
СТС Love,Xsts-love,OK,100.25,2026-09-07T02:05:00+00:00,479
СТС Love +4,Xsts-love-pl4,OK,98.15,2026-09-06T23:59:00+00:00,476
Пятый Канал,X5kanal-ru,OK,100.42,2026-09-07T02:15:00+00:00,298
